matchup,who,type,count
Personal vs Personal,Agent2,Punktowe,2074
Personal vs Personal,Agent1,Punktowe,2691
Personal vs Personal,Agent1,Naukowe,62
Personal vs Personal,Agent2,Militarne,64
Personal vs Personal,Agent2,Naukowe,43
Personal vs Personal,Agent1,Militarne,62
Personal vs Personal,Draw,Brak,4
Personal vs Genetic,Agent2,Militarne,524
Personal vs Genetic,Agent1,Punktowe,2367
Personal vs Genetic,Agent2,Punktowe,1927
Personal vs Genetic,Agent1,Naukowe,138
Personal vs Genetic,Agent2,Naukowe,8
Personal vs Genetic,Agent1,Militarne,33
Personal vs Genetic,Draw,Brak,3
Genetic vs Personal,Agent1,Punktowe,2449
Genetic vs Personal,Agent1,Militarne,560
Genetic vs Personal,Agent2,Punktowe,1837
Genetic vs Personal,Agent2,Militarne,25
Genetic vs Personal,Draw,Brak,2
Genetic vs Personal,Agent2,Naukowe,113
Genetic vs Personal,Agent1,Naukowe,14
Genetic vs Genetic,Agent1,Punktowe,2423
Genetic vs Genetic,Agent2,Naukowe,42
Genetic vs Genetic,Agent2,Militarne,306
Genetic vs Genetic,Agent2,Punktowe,1969
Genetic vs Genetic,Agent1,Militarne,224
Genetic vs Genetic,Agent1,Naukowe,35
Genetic vs Genetic,Draw,Brak,1
